DRESDEN/Nine_Mens_Morris_0.11_2p/h31Ruw;Validator: The sentence with the name closingMill appears with two different arities, 5 and 3.
DRESDEN/othellosuicide/4sIsHw;Validator: The negation ( not ( distinct ?black ?red ) ) contains a literal ( distinct ?black ?red ) that is not a sentence. Only a single sentence is allowed inside a negation.
DRESDEN/walkingman/2zhWjQ;Validator: ( captured ) is written as a zero-arity relation, it should be written as a proposition instead. (Try dropping the parentheses.)
STANFORD/pilgrimage/Yc4KGg;Validator: ( move_conflict ) is written as a zero-arity relation, it should be written as a proposition instead. (Try dropping the parentheses.)
STANFORD/hamilton/JGwv-A;Validator: ( <= ( base ( score 0 ) ) ) is written as a zero-arity rule, if it's always supposed to be true, it should be written as a relation instead. Otherwise, check your parentheses.
STANFORD/chinesecheckers/3YPwkQ;Validator: ( <= ( base ( step 1 ) ) ) is written as a zero-arity rule, if it's always supposed to be true, it should be written as a relation instead. Otherwise, check your parentheses.
STANFORD/kono/oLqaXg;Validator: ( <= ( base ( step 1 ) ) ) is written as a zero-arity rule, if it's always supposed to be true, it should be written as a relation instead. Otherwise, check your parentheses.
STANFORD/multiplehamilton/SiUpTw;Validator: ( <= ( base ( step 1 ) ) ) is written as a zero-arity rule, if it's always supposed to be true, it should be written as a relation instead. Otherwise, check your parentheses.
STANFORD/chinesecheckers4/9KJCmw;Validator: ( <= ( base ( step 1 ) ) ) is written as a zero-arity rule, if it's always supposed to be true, it should be written as a relation instead. Otherwise, check your parentheses.
STANFORD/farmingquandries/gJ3-cg;Validator: ( year_transition ) is written as a zero-arity relation, it should be written as a proposition instead. (Try dropping the parentheses.)
STANFORD/horseshoe/9wr2WA;Validator: ( <= ( base ( step 1 ) ) ) is written as a zero-arity rule, if it's always supposed to be true, it should be written as a relation instead. Otherwise, check your parentheses.
STANFORD/tictoctoe/Ra9NmQ;Validator: The input relation should have arity 2 (first argument: the player, second argument: the move)
STANFORD/alquerque/IJjVGg;Validator: ( <= ( base ( step 1 ) ) ) is written as a zero-arity rule, if it's always supposed to be true, it should be written as a relation instead. Otherwise, check your parentheses.
STANFORD/tictictoe/9wsyZA;Validator: The input relation should have arity 2 (first argument: the player, second argument: the move)
STANFORD/jointconnectfour/vhU59g;Validator: ( some_win ) is written as a zero-arity relation, it should be written as a proposition instead. (Try dropping the parentheses.)
STANFORD/battleofnumbers/J-EIbg;Validator: The negation ( not ( distinct ?count1 ?count2 ) ) contains a literal ( distinct ?count1 ?count2 ) that is not a sentence. Only a single sentence is allowed inside a negation.
STANFORD/firesheep/hYMFGw;Validator: ( sheep_moving ) is written as a zero-arity relation, it should be written as a proposition instead. (Try dropping the parentheses.)
STANFORD/dualconnectfour/vhU59g;Validator: ( some_win ) is written as a zero-arity relation, it should be written as a proposition instead. (Try dropping the parentheses.)
STANFORD/dualhamilton/c0r4vw;Validator: ( <= ( base ( step 1 ) ) ) is written as a zero-arity rule, if it's always supposed to be true, it should be written as a relation instead. Otherwise, check your parentheses.
BASE/chess/cX6VBQ;Got goal results of size: 0 when expecting size one. Results were: []
DRESDEN/ggp-course2013_a1/aVbTyw;Got goal results of size: 2 when expecting size one. Results were: [( goal white 0 ), ( goal white 100 )]
DRESDEN/othello-new-horse/ojhmwQ;Got goal results of size: 3 when expecting size one. Results were: [( goal white 50 ), ( goal white 0 ), ( goal white 100 )]
DRESDEN/kriegTTT_5x5/__UVUA;Got goal results of size: 2 when expecting size one. Results were: [( goal xplayer 100 ), ( goal xplayer 0 )]
DRESDEN/nothello/c5f_QQ;Got goal results of size: 3 when expecting size one. Results were: [( goal white 100 ), ( goal white 0 ), ( goal white 50 )]
DRESDEN/Checkers-BreakThrough/kc3Luw;Got goal results of size: 0 when expecting size one. Results were: []
DRESDEN/othello-new/tp5WhA;Got goal results of size: 3 when expecting size one. Results were: [( goal white 50 ), ( goal white 0 ), ( goal white 100 )]
DRESDEN/othello-fourway/0jBQBQ;Got goal results of size: 3 when expecting size one. Results were: [( goal whiterow 50 ), ( goal whiterow 100 ), ( goal whiterow 0 )]
DRESDEN/fighter/q3v34g;Got goal results of size: 0 when expecting size one. Results were: []
DRESDEN/othello-fourway-teamswitch/B30SVA;Got goal results of size: 3 when expecting size one. Results were: [( goal whiterow 100 ), ( goal whiterow 50 ), ( goal whiterow 0 )]
DRESDEN/othello/NHorpw;Got goal results of size: 3 when expecting size one. Results were: [( goal white 0 ), ( goal white 100 ), ( goal white 50 )]
DRESDEN/othellooo/STtDSQ;Got goal results of size: 3 when expecting size one. Results were: [( goal white 0 ), ( goal white 100 ), ( goal white 50 )]
DRESDEN/othello-fourway-teamswitchA/Y08KBQ;Got goal results of size: 3 when expecting size one. Results were: [( goal whiterow 0 ), ( goal whiterow 100 ), ( goal whiterow 50 )]
DRESDEN/othello-fourway-teamswitchB/ye2KBQ;Got goal results of size: 3 when expecting size one. Results were: [( goal whiterow 0 ), ( goal whiterow 100 ), ( goal whiterow 50 )]
DRESDEN/othello2/5wxZ8g;Got goal results of size: 3 when expecting size one. Results were: [( goal white 50 ), ( goal white 100 ), ( goal white 0 )]
BASE/racer4/07wxZA;Invalid goal definitions when 2 or 3 players finish on the same turn
DRESDEN/racer4/t3B5-Q;Invalid goal definitions when 2 or 3 players finish on the same turn
